UserID,Timestamp,Accuracy
6420063,2024-10-05 05:10:38.017487+00:00,61.92%
6420063,2024-10-05 05:10:38.203809+00:00,63.96%
6420063,2024-10-05 05:10:38.390135+00:00,65.48%
6420063,2024-10-05 05:10:38.574995+00:00,64.72%
6420063,2024-10-05 05:10:38.759299+00:00,63.87%
6420063,2024-10-05 05:10:38.944777+00:00,64.32%
6420063,2024-10-05 05:10:39.129096+00:00,63.82%
6420063,2024-10-05 05:10:39.314113+00:00,65.19%
6420063,2024-10-05 05:10:39.499603+00:00,67.10%
6420063,2024-10-05 05:10:39.686275+00:00,61.96%
6420063,2024-10-05 05:10:39.872038+00:00,62.40%
6420063,2024-10-05 05:10:40.056416+00:00,62.14%
6420063,2024-10-05 05:10:40.241266+00:00,63.26%
6420063,2024-10-05 05:10:40.425820+00:00,62.83%
6420063,2024-10-05 05:10:40.614315+00:00,61.36%
6420063,2024-10-05 05:10:40.799363+00:00,59.32%
6420063,2024-10-05 05:10:40.985518+00:00,62.36%
6420063,2024-10-05 05:10:41.344971+00:00,60.17%
6420063,2024-10-05 05:10:41.533179+00:00,62.93%
6420063,2024-10-05 05:10:41.719543+00:00,62.34%
6420063,2024-10-05 05:10:42.608404+00:00,51.71%
6420063,2024-10-05 05:10:42.795036+00:00,60.45%
6420063,2024-10-05 05:10:42.981995+00:00,67.02%
6420063,2024-10-05 05:10:43.167533+00:00,68.62%
6420063,2024-10-05 05:10:43.352941+00:00,70.41%
6420063,2024-10-05 05:10:43.537690+00:00,64.51%
6420063,2024-10-05 05:10:43.722335+00:00,69.49%
6420063,2024-10-05 05:10:43.908424+00:00,68.56%
6420063,2024-10-05 05:10:44.096807+00:00,70.09%
6420063,2024-10-05 05:10:44.282997+00:00,71.41%
6420063,2024-10-05 05:10:44.467882+00:00,70.34%
6420063,2024-10-05 05:10:44.653380+00:00,67.30%
6420063,2024-10-05 05:10:44.839186+00:00,62.18%
6420063,2024-10-05 05:10:45.025470+00:00,60.42%
6420063,2024-10-05 05:10:45.211513+00:00,60.39%
6420063,2024-10-05 05:10:45.395920+00:00,58.83%
6420063,2024-10-05 05:10:45.581679+00:00,60.06%
6420063,2024-10-05 05:10:45.768287+00:00,61.44%
6420063,2024-10-05 05:10:45.955128+00:00,62.80%
6420063,2024-10-05 05:10:46.140303+00:00,64.12%
6420063,2024-10-05 05:10:46.326734+00:00,62.96%
6420063,2024-10-05 05:10:46.511638+00:00,63.19%
6420063,2024-10-05 05:10:46.696706+00:00,63.44%
6420063,2024-10-05 05:10:46.881053+00:00,63.46%
6420063,2024-10-05 05:10:47.064851+00:00,62.32%
6420063,2024-10-05 05:10:47.252726+00:00,63.68%
6420063,2024-10-05 05:10:47.438147+00:00,62.29%
6420063,2024-10-05 05:10:47.623838+00:00,63.02%
6420063,2024-10-05 05:10:47.810332+00:00,62.94%
6420063,2024-10-05 05:10:47.995096+00:00,60.95%
6420063,2024-10-05 05:10:48.181405+00:00,57.55%
6420063,2024-10-05 05:10:48.366828+00:00,54.44%
6420063,2024-10-05 05:10:49.941396+00:00,60.77%
6420063,2024-10-05 05:10:50.474368+00:00,63.18%
6420063,2024-10-05 05:10:50.659047+00:00,62.91%
6420063,2024-10-05 05:10:50.843700+00:00,63.84%
6420063,2024-10-05 05:10:51.035017+00:00,63.48%
6420063,2024-10-05 05:10:52.617773+00:00,63.99%
6420063,2024-10-05 05:10:52.804540+00:00,66.28%
6420063,2024-10-05 05:10:52.989310+00:00,66.82%
6420063,2024-10-05 05:10:53.177092+00:00,58.68%
6420063,2024-10-05 05:10:53.537594+00:00,67.71%
6420063,2024-10-05 05:10:53.724314+00:00,72.82%
6420063,2024-10-05 05:10:53.909095+00:00,72.61%
6420063,2024-10-05 05:10:54.094622+00:00,72.98%
6420063,2024-10-05 05:10:54.280714+00:00,69.26%
6420063,2024-10-05 05:10:54.465516+00:00,66.68%
6420063,2024-10-05 05:10:54.650987+00:00,64.60%
6420063,2024-10-05 05:10:55.010308+00:00,64.05%
6420063,2024-10-05 05:11:02.491988+00:00,52.60%
6420063,2024-10-05 05:11:03.198628+00:00,52.15%
6420063,2024-10-05 05:11:03.383726+00:00,51.59%
6420063,2024-10-05 05:11:06.001936+00:00,62.87%
6420063,2024-10-05 05:11:06.188975+00:00,60.12%
6420063,2024-10-05 05:11:06.375177+00:00,58.21%
6420063,2024-10-05 05:11:09.174485+00:00,42.87%
6420063,2024-10-05 05:11:10.746382+00:00,42.56%
6420063,2024-10-05 05:11:11.476270+00:00,57.05%
6420063,2024-10-05 05:11:11.662858+00:00,58.16%
6420063,2024-10-05 05:11:11.847426+00:00,56.95%
6420063,2024-10-05 05:11:12.032215+00:00,60.56%
6420063,2024-10-05 05:11:12.216958+00:00,59.53%
6420063,2024-10-05 05:11:12.403056+00:00,61.36%
6420063,2024-10-05 05:11:12.590054+00:00,61.51%
6420063,2024-10-05 05:11:12.774192+00:00,63.23%
6420063,2024-10-05 05:11:12.958364+00:00,59.79%
6420063,2024-10-05 05:11:13.152382+00:00,58.57%
6420063,2024-10-05 05:11:13.337997+00:00,54.88%
6420063,2024-10-05 05:11:13.524809+00:00,55.27%
6420063,2024-10-05 05:11:13.708467+00:00,55.23%
6420063,2024-10-05 05:11:13.892394+00:00,53.79%
6420063,2024-10-05 05:11:14.082555+00:00,59.55%
6420063,2024-10-05 05:11:14.268669+00:00,58.67%
6420063,2024-10-05 05:11:14.452862+00:00,61.00%
6420063,2024-10-05 05:11:14.637055+00:00,63.73%
6420063,2024-10-05 05:11:14.822402+00:00,63.53%
6420063,2024-10-05 05:11:15.009964+00:00,63.72%
6420063,2024-10-05 05:11:15.195214+00:00,62.01%
6420063,2024-10-05 05:11:15.380762+00:00,64.19%
6420063,2024-10-05 05:11:15.564767+00:00,64.20%
6420063,2024-10-05 05:11:15.748577+00:00,64.72%
6420063,2024-10-05 05:11:16.464090+00:00,52.23%
6420063,2024-10-05 05:11:16.650871+00:00,63.41%
6420063,2024-10-05 05:11:16.837860+00:00,68.95%
6420063,2024-10-05 05:11:17.025448+00:00,68.04%
6420063,2024-10-05 05:11:17.210892+00:00,65.80%
6420063,2024-10-05 05:11:17.396658+00:00,61.84%
6420063,2024-10-05 05:11:17.584115+00:00,56.08%
6420063,2024-10-05 05:11:17.947257+00:00,52.21%
6420063,2024-10-05 05:11:18.133149+00:00,54.32%
6420063,2024-10-05 05:11:18.318922+00:00,63.72%
6420063,2024-10-05 05:11:18.681593+00:00,63.44%
6420063,2024-10-05 05:11:18.865596+00:00,60.74%
6420063,2024-10-05 05:11:19.051942+00:00,69.28%
6420063,2024-10-05 05:11:19.238199+00:00,73.80%
6420063,2024-10-05 05:11:19.424176+00:00,76.19%
6420063,2024-10-05 05:11:19.609995+00:00,75.43%
6420063,2024-10-05 05:11:19.795298+00:00,71.19%
6420063,2024-10-05 05:11:19.981454+00:00,69.09%
6420063,2024-10-05 05:11:20.166912+00:00,69.71%
6420063,2024-10-05 05:11:20.353371+00:00,73.11%
6420063,2024-10-05 05:11:20.538104+00:00,72.27%
6420063,2024-10-05 05:11:20.722668+00:00,72.18%
6420063,2024-10-05 05:11:20.907797+00:00,73.36%
6420063,2024-10-05 05:11:21.095674+00:00,67.05%
6420063,2024-10-05 05:11:21.281857+00:00,54.30%
6420063,2024-10-05 05:11:22.164658+00:00,56.80%
6420063,2024-10-05 05:11:22.348989+00:00,52.84%
6420063,2024-10-05 05:11:22.534065+00:00,54.13%
6420063,2024-10-05 05:11:22.720099+00:00,58.64%
6420063,2024-10-05 05:11:22.906523+00:00,70.40%
6420063,2024-10-05 05:11:23.094302+00:00,69.19%
6420063,2024-10-05 05:11:23.279407+00:00,65.55%
6420063,2024-10-05 05:11:23.470267+00:00,65.14%
6420063,2024-10-05 05:11:23.656449+00:00,62.68%
6420063,2024-10-05 05:11:23.841383+00:00,67.36%
6420063,2024-10-05 05:11:24.025892+00:00,68.94%
6420063,2024-10-05 05:11:24.210504+00:00,67.51%
6420063,2024-10-05 05:11:24.394522+00:00,68.42%
6420063,2024-10-05 05:11:24.578431+00:00,66.63%
6420063,2024-10-05 05:11:24.763076+00:00,67.80%
6420063,2024-10-05 05:11:24.948937+00:00,69.36%
6420063,2024-10-05 05:11:25.133382+00:00,71.17%
6420063,2024-10-05 05:11:25.317939+00:00,65.66%
6420063,2024-10-05 05:11:25.502873+00:00,67.17%
6420063,2024-10-05 05:11:25.688740+00:00,67.44%
6420063,2024-10-05 05:11:25.872961+00:00,66.94%
6420063,2024-10-05 05:11:26.058626+00:00,66.66%
6420063,2024-10-05 05:11:26.243564+00:00,66.25%
6420063,2024-10-05 05:11:26.428253+00:00,60.50%
6420063,2024-10-05 05:11:26.615090+00:00,61.49%
6420063,2024-10-05 05:11:26.802135+00:00,57.30%
6420063,2024-10-05 05:11:26.986739+00:00,60.86%
6420063,2024-10-05 05:11:27.172833+00:00,61.12%
6420063,2024-10-05 05:11:27.358985+00:00,59.83%
6420063,2024-10-05 05:11:27.544740+00:00,59.71%
6420063,2024-10-05 05:11:27.730071+00:00,56.01%
6420063,2024-10-05 05:11:27.914973+00:00,57.37%
6420063,2024-10-05 05:11:28.100448+00:00,62.79%
6420063,2024-10-05 05:11:28.284677+00:00,65.97%
6420063,2024-10-05 05:11:28.470375+00:00,66.65%
6420063,2024-10-05 05:11:28.656930+00:00,63.81%
6420063,2024-10-05 05:11:29.015637+00:00,54.49%
6420063,2024-10-05 05:11:29.200656+00:00,61.43%
6420063,2024-10-05 05:11:29.906554+00:00,58.76%
6420063,2024-10-05 05:11:30.091435+00:00,60.93%
6420063,2024-10-05 05:11:30.277911+00:00,60.19%
6420063,2024-10-05 05:11:30.462705+00:00,60.65%
6420063,2024-10-05 05:11:30.646968+00:00,62.47%
6420063,2024-10-05 05:11:30.831976+00:00,61.88%
6420063,2024-10-05 05:11:31.016727+00:00,62.20%
6420063,2024-10-05 05:11:31.210548+00:00,65.74%
6420063,2024-10-05 05:11:31.397825+00:00,66.74%
6420063,2024-10-05 05:11:31.583733+00:00,65.87%
6420063,2024-10-05 05:11:31.768671+00:00,66.04%
6420063,2024-10-05 05:11:31.953784+00:00,64.76%
6420063,2024-10-05 05:11:32.138644+00:00,63.83%
6420063,2024-10-05 05:11:32.325026+00:00,62.89%
6420063,2024-10-05 05:11:32.509210+00:00,62.08%
6420063,2024-10-05 05:11:32.695219+00:00,64.15%
6420063,2024-10-05 05:11:32.880941+00:00,64.30%
6420063,2024-10-05 05:11:33.064019+00:00,65.06%
6420063,2024-10-05 05:11:33.249364+00:00,67.92%
6420063,2024-10-05 05:11:33.435731+00:00,63.92%
6420063,2024-10-05 05:11:33.621917+00:00,64.73%
6420063,2024-10-05 05:11:33.806654+00:00,63.42%
6420063,2024-10-05 05:11:33.993460+00:00,60.88%
6420063,2024-10-05 05:11:34.178445+00:00,62.71%
6420063,2024-10-05 05:11:34.363366+00:00,63.94%
6420063,2024-10-05 05:11:34.548123+00:00,62.27%
6420063,2024-10-05 05:11:34.733505+00:00,61.83%
6420063,2024-10-05 05:11:34.919695+00:00,63.32%
6420063,2024-10-05 05:11:41.895102+00:00,54.93%
6420063,2024-10-05 05:11:42.083017+00:00,56.85%
6420063,2024-10-05 05:11:42.270153+00:00,53.68%
